name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2025-06-20,28.1,19.8,24.3,27.8,19.8,24.3,13.9,54,0.573,100,4.17,rain,0,0,46.3,26.5,267.8,1011.2,38.9,16,322.1,27.7,10,,2025-06-20T05:24:59,2025-06-20T20:30:36,0.83,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-21,30.7,22.6,26.5,31.1,22.6,26.6,15.3,50.8,0,0,0,,0,0,42.5,20.9,242.9,1018.3,39.8,16,258,22.3,9,,2025-06-21T05:25:12,2025-06-21T20:30:49,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-22,31.2,22.4,27,34.3,22.4,28.3,19.8,65.6,2.18,100,16.67,rain,0,0,48.9,21.5,248.3,1016.9,41.5,15.3,139.4,11.9,6,,2025-06-22T05:25:26,2025-06-22T20:30:59,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-23,35.2,26.7,30.7,40.7,29,35,23,64.1,0,0,0,,0,0,33.5,21.3,102.2,1017.6,40.6,14.9,276.2,23.8,9,,2025-06-23T05:25:42,2025-06-23T20:31:08,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-24,36.8,27.9,32.6,38.2,30.4,34.4,19.1,47.5,0,0,0,,0,0,40.7,21.3,304.2,1017.7,18.2,15.8,332.3,28.8,10,,2025-06-24T05:26:00,2025-06-24T20:31:14,0.97,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-25,35.5,28.1,31.9,37.3,29.4,33.5,19.1,47.5,0,0,0,,0,0,47.9,14.2,338.9,1016,22.1,16,290.5,25.1,9,,2025-06-25T05:26:20,2025-06-25T20:31:19,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-26,29.9,19.6,23.6,32.3,19.6,24,15.9,62.4,0.08,100,4.17,rain,0,0,54.5,29,53,1018,89.8,15.6,135.5,11.7,5,,2025-06-26T05:26:42,2025-06-26T20:31:21,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-27,22.2,17.4,19.8,22.2,17.4,19.8,10.5,57.4,1.58,100,8.33,rain,0,0,34.6,21,86,1023.2,100,16,125.5,10.7,8,,2025-06-27T05:27:05,2025-06-27T20:31:22,0.07,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-28,28.7,17.4,22.5,30.9,17.4,23.2,18.1,77.1,1.401,100,20.83,rain,0,0,33.5,18.2,218.5,1017.9,72.6,11.4,205.5,17.7,8,,2025-06-28T05:27:29,2025-06-28T20:31:21,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-29,32,25.2,28.4,32.4,25.2,28.8,18.4,56.8,0,0,0,,0,0,40.7,16.8,295.8,1014.5,30.5,15.9,301.7,26.1,9,,2025-06-29T05:27:56,2025-06-29T20:31:17,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-06-30,32,22.2,27,33,22.2,27.8,18.1,59,0.12,100,4.17,rain,0,0,49.1,22.8,73.3,1014.7,28.7,15.9,299.6,26,10,,2025-06-30T05:28:24,2025-06-30T20:31:12,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
